minor,average rssi(mW),dBm
time range,10:58:30,11:00:37
row1,5.000068e-02,-13.01
row2,4.878089e-02,-13.12
row3,2.500198e-02,-16.02
row4,5.129269e-02,-12.90
time range,11:01:26,11:02:14
row1,2.558227e-07,-65.92
row2,7.528308e-07,-61.23
row3,3.031714e-06,-55.18
row4,1.897160e-05,-47.22
time range,11:03:22,11:04:10
row1,3.333359e-02,-14.77
row2,3.333418e-02,-14.77
row3,3.448858e-02,-14.62
row4,3.333466e-02,-14.77
time range,11:04:45,11:05:42
row1,6.689909e-07,-61.75
row2,1.464460e-06,-58.34
row3,9.285187e-06,-50.32
row4,6.476655e-06,-51.89
time range,11:10:00,11:11:16
row1,1.789715e-06,-57.47
row2,3.434966e-06,-54.64
row3,1.331735e-06,-58.76
row4,4.554967e-06,-53.42
time range,11:11:38,11:12:26
row1,9.466635e-07,-60.24
row2,3.763387e-06,-54.24
row3,2.691083e-06,-55.70
row4,9.321748e-06,-50.31
time range,11:12:37,11:13:39
row1,6.553009e-07,-61.84
row2,2.230834e-06,-56.52
row3,4.325836e-06,-53.64
row4,6.558287e-06,-51.83
time range,11:14:00,11:14:47
row1,3.913431e-07,-64.07
row2,2.053028e-06,-56.88
row3,4.810785e-06,-53.18
row4,7.652212e-06,-51.16
time range,11:16:29,11:17:40
row1,2.867192e-06,-55.43
row2,1.484655e-05,-48.28
row3,1.455954e-06,-58.37
row4,1.157410e-05,-49.37
time range,11:19:32,11:22:11
row1,1.477906e-06,-58.30
row2,6.962691e-06,-51.57
row3,2.408452e-06,-56.18
row4,2.564590e-02,-15.91
time range,11:22:34,11:23:25
row1,4.603980e-06,-53.37
row2,2.349325e-06,-56.29
row3,1.173920e-06,-59.30
row4,6.469912e-07,-61.89
time range,11:24:00,11:25:15
row1,4.341079e-06,-53.62
row2,2.392954e-06,-56.21
row3,1.123947e-06,-59.49
row4,9.798929e-07,-60.09
time range,11:27:17,11:28:23
row1,4.811640e-06,-53.18
row2,1.932626e-06,-57.14
row3,9.583354e-07,-60.18
row4,9.398004e-07,-60.27
time range,11:28:44,11:29:36
row1,2.243555e-06,-56.49
row2,3.253935e-06,-54.88
row3,1.032653e-06,-59.86
row4,1.788018e-06,-57.48
time range,11:29:53,11:30:42
row1,2.196982e-06,-56.58
row2,4.726384e-06,-53.25
row3,1.752726e-06,-57.56
row4,1.337759e-06,-58.74
time range,11:30:56,11:31:43
row1,1.244125e-06,-59.05
row2,6.965695e-06,-51.57
row3,2.178318e-06,-56.62
row4,2.403510e-06,-56.19
time range,11:34:28,11:35:22
row1,7.848517e-07,-61.05
row2,2.913420e-06,-55.36
row3,9.603108e-06,-50.18
row4,2.720447e-06,-55.65
time range,11:35:36,11:36:25
row1,9.698541e-07,-60.13
row2,1.907015e-06,-57.20
row3,2.729445e-06,-55.64
row4,5.309838e-06,-52.75
time range,11:36:36,11:37:38
row1,1.134790e-06,-59.45
row2,1.641657e-06,-57.85
row3,1.868377e-06,-57.29
row4,3.630978e-06,-54.40
time range,11:37:57,11:38:51
row1,3.103956e-06,-55.08
row2,2.169415e-06,-56.64
row3,9.295494e-07,-60.32
row4,8.984371e-07,-60.47
time range,11:40:34,11:41:26
row1,6.769693e-07,-61.69
row2,1.904923e-06,-57.20
row3,3.007872e-05,-45.22
row4,1.032010e-05,-49.86
time range,11:41:39,11:42:45
row1,8.524588e-07,-60.69
row2,1.788480e-06,-57.48
row3,1.032704e-05,-49.86
row4,1.331208e-05,-48.76
time range,11:43:00,11:43:49
row1,4.247236e-07,-63.72
row2,1.471873e-06,-58.32
row3,4.324594e-06,-53.64
row4,1.948823e-05,-47.10
time range,11:44:13,11:45:00
row1,6.653817e-07,-61.77
row2,9.425210e-07,-60.26
row3,2.547897e-06,-55.94
row4,8.560764e-06,-50.67
time range,11:51:40,11:52:36
row1,3.768370e-07,-64.24
row2,1.784195e-07,-67.49
row3,1.159415e-06,-59.36
row4,4.172639e-06,-53.80
time range,11:54:22,11:55:13
row1,5.990833e-07,-62.23
row2,4.494311e-06,-53.47
row3,1.575164e-06,-58.03
row4,2.653961e-06,-55.76
time range,11:56:50,11:57:43
row1,No information,No information
row2,No information,No information
row3,No information,No information
row4,No information,No information
