minor,average rssi(mW),dBm
time range,11:07:50,11:08:05
1,1.454506e-05,-48.37
2,3.761142e-06,-54.25
3,5.866180e-07,-62.32
4,2.272059e-06,-56.44
time range,11:10:16,11:10:31
1,2.513204e-06,-56.00
2,1.595611e-06,-57.97
3,1.776399e-06,-57.50
4,1.106369e-06,-59.56
time range,11:02:29,11:02:44
1,1.667632e-06,-57.78
2,7.426117e-07,-61.29
3,1.166044e-05,-49.33
4,3.721875e-06,-54.29
time range,11:05:40,11:05:55
1,4.349553e-07,-63.62
2,7.114141e-06,-51.48
3,1.012289e-05,-49.95
4,3.698638e-06,-54.32
time range,10:56:00,10:56:15
1,2.980857e-07,-65.26
2,1.207140e-07,-69.18
3,3.981072e-06,-54.00
4,2.064878e-06,-56.85
time range,10:54:00,10:54:15
1,4.862801e-07,-63.13
2,1.506119e-06,-58.22
3,1.975465e-06,-57.04
4,4.483906e-06,-53.48
time range,10:57:25,10:57:40
1,3.426020e-07,-64.65
2,3.425843e-07,-64.65
3,1.821854e-06,-57.39
4,2.264200e-06,-56.45
