minor,average rssi(mW),dBm
time range,10:46:03,10:46:13
row1,2.960344e-06,-55.29
row2,9.542952e-07,-60.20
row3,9.585942e-07,-60.18
row4,3.574768e-07,-64.47
row5,1.468896e-07,-68.33
row6,1.226340e-07,-69.11
row7,2.789225e-08,-75.55
row8,2.150982e-07,-66.67
time range,10:46:46,10:46:56
row1,7.330642e-05,-41.35
row2,2.945481e-07,-65.31
row3,2.532431e-06,-55.96
row4,9.933984e-08,-70.03
row5,2.868098e-07,-65.42
row6,3.445096e-07,-64.63
row7,1.828209e-08,-77.38
row8,1.142776e-08,-79.42
time range,10:47:10,10:47:20
row1,3.344232e-05,-44.76
row2,7.573272e-07,-61.21
row3,6.085634e-07,-62.16
row4,1.761578e-08,-77.54
row5,1.127074e-07,-69.48
row6,9.671831e-08,-70.14
row7,1.439227e-08,-78.42
row8,3.017746e-08,-75.20
time range,10:47:40,10:47:50
row1,8.084285e-06,-50.92
row2,1.762614e-06,-57.54
row3,1.830832e-06,-57.37
row4,1.381163e-07,-68.60
row5,3.327363e-07,-64.78
row6,4.051741e-07,-63.92
row7,1.754080e-08,-77.56
row8,7.057736e-08,-71.51
time range,10:47:56,10:48:06
row1,9.876044e-06,-50.05
row2,3.533711e-06,-54.52
row3,2.557809e-06,-55.92
row4,7.168429e-08,-71.45
row5,2.215367e-07,-66.55
row6,2.015646e-07,-66.96
row7,1.258925e-08,-79.00
row8,4.616199e-08,-73.36
time range,10:48:11,10:48:21
row1,4.878678e-06,-53.12
row2,3.629161e-06,-54.40
row3,3.229116e-06,-54.91
row4,7.822704e-08,-71.07
row5,1.229362e-06,-59.10
row6,2.382891e-07,-66.23
row7,3.350573e-08,-74.75
row8,3.334912e-08,-74.77
time range,10:49:40,10:49:50
row1,7.906832e-07,-61.02
row2,1.732765e-06,-57.61
row3,1.890767e-06,-57.23
row4,3.537927e-08,-74.51
row5,4.305873e-07,-63.66
row6,1.605994e-07,-67.94
row7,9.489360e-09,-80.23
row8,2.021826e-08,-76.94
time range,10:49:56,10:50:06
row1,3.120516e-06,-55.06
row2,1.310042e-06,-58.83
row3,3.070032e-06,-55.13
row4,2.292766e-08,-76.40
row5,8.359810e-07,-60.78
row6,2.565393e-07,-65.91
row7,3.931067e-08,-74.05
row8,1.212716e-07,-69.16
time range,10:50:10,10:50:20
row1,4.371784e-06,-53.59
row2,1.358739e-05,-48.67
row3,5.900945e-06,-52.29
row4,3.768820e-08,-74.24
row5,5.556962e-07,-62.55
row6,2.837082e-07,-65.47
row7,2.021470e-08,-76.94
row8,1.867314e-08,-77.29
time range,10:50:50,10:51:00
row1,4.341515e-06,-53.62
row2,2.397081e-05,-46.20
row3,8.675856e-06,-50.62
row4,6.891477e-08,-71.62
row5,5.071184e-07,-62.95
row6,5.985148e-07,-62.23
row7,4.344831e-08,-73.62
row8,1.086308e-08,-79.64
time range,10:51:05,10:51:15
row1,2.051482e-06,-56.88
row2,2.377965e-05,-46.24
row3,1.857194e-06,-57.31
row4,5.768964e-08,-72.39
row5,1.161828e-06,-59.35
row6,2.191535e-07,-66.59
row7,1.413640e-08,-78.50
row8,3.645727e-08,-74.38
time range,10:51:19,10:51:29
row1,1.987583e-06,-57.02
row2,5.274173e-05,-42.78
row3,9.382582e-06,-50.28
row4,3.194571e-07,-64.96
row5,6.264294e-07,-62.03
row6,7.193293e-07,-61.43
row7,1.612823e-08,-77.92
row8,3.208096e-08,-74.94
time range,10:51:48,10:51:58
row1,1.106269e-06,-59.56
row2,1.649246e-06,-57.83
row3,6.737118e-06,-51.72
row4,3.351385e-08,-74.75
row5,9.173120e-07,-60.37
row6,2.772043e-07,-65.57
row7,2.635879e-08,-75.79
row8,3.212799e-08,-74.93
time range,10:52:01,10:52:11
row1,1.457820e-06,-58.36
row2,4.231876e-06,-53.73
row3,6.605817e-06,-51.80
row4,9.263404e-08,-70.33
row5,6.000163e-07,-62.22
row6,3.579988e-07,-64.46
row7,3.801976e-08,-74.20
row8,5.553427e-08,-72.55
time range,10:52:15,10:52:25
row1,1.193102e-06,-59.23
row2,4.985260e-07,-63.02
row3,6.838833e-06,-51.65
row4,1.526610e-07,-68.16
row5,2.405429e-06,-56.19
row6,4.034073e-07,-63.94
row7,2.925501e-08,-75.34
row8,5.844813e-08,-72.33
time range,10:52:43,10:52:53
row1,3.058086e-06,-55.15
row2,1.014520e-05,-49.94
row3,6.102513e-06,-52.14
row4,4.027882e-08,-73.95
row5,2.098587e-06,-56.78
row6,6.724293e-08,-71.72
row7,2.180059e-08,-76.62
row8,1.657565e-08,-77.81
time range,10:52:56,10:53:06
row1,1.084271e-06,-59.65
row2,1.586050e-06,-58.00
row3,3.312230e-05,-44.80
row4,4.534415e-08,-73.43
row5,7.251338e-07,-61.40
row6,1.631070e-07,-67.88
row7,1.292447e-08,-78.89
row8,8.510338e-08,-70.70
time range,10:53:10,10:53:20
row1,5.243904e-07,-62.80
row2,1.913188e-06,-57.18
row3,1.444533e-05,-48.40
row4,2.432857e-07,-66.14
row5,9.436006e-07,-60.25
row6,3.162278e-07,-65.00
row7,4.357703e-08,-73.61
row8,5.896213e-08,-72.29
time range,10:53:28,10:53:38
row1,8.132769e-07,-60.90
row2,3.960763e-06,-54.02
row3,1.084639e-05,-49.65
row4,1.069373e-07,-69.71
row5,2.609906e-06,-55.83
row6,4.894440e-07,-63.10
