minor,average rssi(mW),dBm
time range,11:32:54,11:33:04
row1,2.169476e-08,-76.64
row2,1.525832e-08,-78.16
row3,5.315304e-08,-72.74
row4,1.067276e-08,-79.72
row5,2.572699e-07,-65.90
row6,4.526575e-06,-53.44
row7,4.636175e-07,-63.34
row8,6.034542e-06,-52.19
time range,11:33:57,11:34:07
row1,1.129463e-08,-79.47
row2,2.167470e-08,-76.64
row3,2.051829e-08,-76.88
row4,3.483129e-08,-74.58
row5,6.699745e-07,-61.74
row6,4.568843e-06,-53.40
row7,2.025621e-06,-56.93
row8,6.733893e-06,-51.72
time range,11:35:30,11:35:40
row1,1.643854e-08,-77.84
row2,2.393017e-08,-76.21
row3,3.104925e-08,-75.08
row4,1.113041e-07,-69.53
row5,3.634278e-06,-54.40
row6,1.100281e-04,-39.58
row7,1.000019e-06,-60.00
row8,1.951240e-06,-57.10
time range,11:36:27,11:36:37
row1,1.308210e-07,-68.83
row2,1.360380e-07,-68.66
row3,6.376775e-07,-61.95
row4,3.132308e-05,-45.04
row5,1.804145e-04,-37.44
row6,1.242545e-06,-59.06
row7,1.198137e-07,-69.21
row8,8.832907e-08,-70.54
time range,11:37:22,11:37:32
row1,1.511066e-07,-68.21
row2,3.282254e-07,-64.84
row3,6.325629e-06,-51.99
row4,1.300901e-06,-58.86
row5,2.459994e-05,-46.09
row6,1.247302e-06,-59.04
row7,3.905789e-08,-74.08
row8,1.275287e-07,-68.94
time range,11:38:11,11:38:21
row1,1.237826e-06,-59.07
row2,4.853775e-07,-63.14
row3,9.748417e-05,-40.11
row4,1.725268e-07,-67.63
row5,1.981080e-06,-57.03
row6,2.379747e-07,-66.23
row7,1.258925e-08,-79.00
row8,1.262461e-07,-68.99
time range,11:39:20,11:39:30
row1,3.747131e-06,-54.26
row2,3.354878e-05,-44.74
row3,1.544632e-05,-48.11
row4,7.868002e-08,-71.04
row5,1.790078e-06,-57.47
row6,5.052189e-07,-62.97
row7,1.488462e-08,-78.27
row8,7.009734e-08,-71.54
